HOME_CODE,HOME_TEAM,DATE,TIME,AWAY_CODE,AWAY_TEAM,LOCATION,HASHTAG,TVSHEDULE,TICKETS,MATCHCENTRE,HOME_TICKETS,HOME_SHOP,HOME_TWITTER,AWAY_TICKETS,AWAY_SHOP,AWAY_TWITTER
LIV,Liverpool,8/9/19,20:00:00,NOR,Norwich City,"Anfield, Liverpool",#LIVNOR,,,,,,,,,
BOU,AFC Bournemouth,8/10/19,15:00:00,SUN,Sheffield United,"Vitality Stadium, Bournemouth",#BOUSUN,,,,,,,,,
BUR,Burnley,8/10/19,15:00:00,SOU,Southampton,"Turf Moor, Burnley",#BURSOU,,,,,,,,,
CRY,Crystal Palace,8/10/19,15:00:00,EVE,Everton,"Selhurst Park, London",#CRYEVE,,,,,,,,,
LEI,Leicester City,8/10/19,15:00:00,WOL,Wolverhampton Wanderers,"King Power Stadium, Leicester",#LEIWOL,,,,,,,,,
TOT,Tottenham Hotspur,8/10/19,17:30:00,VIL,Aston Villa,"Tottenham Hotspur Stadium, London",#TOTVIL,,,,,,,,,
WAT,Watford,8/10/19,15:00:00,BHA,Brighton and Hove Albion,"Vicarage Road, Watford",#WATBHA,,,,,,,,,
WHU,West Ham United,8/10/19,12:30:00,MCI,Manchester City,"London Stadium, London",#WHUMCI,,,,,,,,,
MUN,Manchester United,8/11/19,16:30:00,CHE,Chelsea,"Old Trafford, Manchester",#MUNCHE,,,,,,,,,
NEW,Newcastle United,8/11/19,14:00:00,ARS,Arsenal,"St. James' Park, Newcastle",#NEWARS,,,,,,,,,
ARS,Arsenal,8/17/19,15:00:00,BUR,Burnley,"Emirates Stadium, London",#ARSBUR,,,,,,,,,
VIL,Aston Villa,8/17/19,15:00:00,BOU,AFC Bournemouth,"Villa Park, Birmingham",#VILBOU,,,,,,,,,
BHA,Brighton and Hove Albion,8/17/19,15:00:00,WHU,West Ham United,"Amex Stadium, Falmer",#BHAWHU,,,,,,,,,
CHE,Chelsea,8/17/19,15:00:00,LEI,Leicester City,"Stamford Bridge, London",#CHELEI,,,,,,,,,
EVE,Everton,8/17/19,15:00:00,WAT,Watford,"Goodison Park, Liverpool",#EVEWAT,,,,,,,,,
MCI,Manchester City,8/17/19,15:00:00,TOT,Tottenham Hotspur,"Etihad Stadium, Manchester",#MCITOT,,,,,,,,,
NOR,Norwich City,8/17/19,15:00:00,NEW,Newcastle United,"Carrow Road, Norwich",#NORNEW,,,,,,,,,
SUN,Sheffield United,8/17/19,15:00:00,CRY,Crystal Palace,"Bramall Lane, Sheffield",#SUNCRY,,,,,,,,,
SOU,Southampton,8/17/19,15:00:00,LIV,Liverpool,"St. Mary's Stadium, Southampton",#SOULIV,,,,,,,,,
WOL,Wolverhampton Wanderers,8/17/19,15:00:00,MUN,Manchester United,"Molineux Stadium, Wolverhampton",#WOLMUN,,,,,,,,,
VIL,Aston Villa,8/24/19,15:00:00,EVE,Everton,"Villa Park, Birmingham",#VILEVE,,,,,,,,,
BOU,AFC Bournemouth,8/24/19,15:00:00,MCI,Manchester City,"Vitality Stadium, Bournemouth",#BOUMCI,,,,,,,,,
BHA,Brighton and Hove Albion,8/24/19,15:00:00,SOU,Southampton,"Amex Stadium, Falmer",#BHASOU,,,,,,,,,
LIV,Liverpool,8/24/19,15:00:00,ARS,Arsenal,"Anfield, Liverpool",#LIVARS,,,,,,,,,
MUN,Manchester United,8/24/19,15:00:00,CRY,Crystal Palace,"Old Trafford, Manchester",#MUNCRY,,,,,,,,,
NOR,Norwich City,8/24/19,15:00:00,CHE,Chelsea,"Carrow Road, Norwich",#NORCHE,,,,,,,,,
SUN,Sheffield United,8/24/19,15:00:00,LEI,Leicester City,"Bramall Lane, Sheffield",#SUNLEI,,,,,,,,,
TOT,Tottenham Hotspur,8/24/19,15:00:00,NEW,Newcastle United,"Tottenham Hotspur Stadium, London",#TOTNEW,,,,,,,,,
WAT,Watford,8/24/19,15:00:00,WHU,West Ham United,"Vicarage Road, Watford",#WATWHU,,,,,,,,,
WOL,Wolverhampton Wanderers,8/24/19,15:00:00,BUR,Burnley,"Molineux Stadium, Wolverhampton",#WOLBUR,,,,,,,,,
ARS,Arsenal,8/31/19,15:00:00,TOT,Tottenham Hotspur,"Emirates Stadium, London",#ARSTOT,,,,,,,,,
BUR,Burnley,8/31/19,15:00:00,LIV,Liverpool,"Turf Moor, Burnley",#BURLIV,,,,,,,,,
CHE,Chelsea,8/31/19,15:00:00,SUN,Sheffield United,"Stamford Bridge, London",#CHESUN,,,,,,,,,
CRY,Crystal Palace,8/31/19,15:00:00,VIL,Aston Villa,"Selhurst Park, London",#CRYVIL,,,,,,,,,
EVE,Everton,8/31/19,15:00:00,WOL,Wolverhampton Wanderers,"Goodison Park, Liverpool",#EVEWOL,,,,,,,,,
LEI,Leicester City,8/31/19,15:00:00,BOU,AFC Bournemouth,"King Power Stadium, Leicester",#LEIBOU,,,,,,,,,
MCI,Manchester City,8/31/19,15:00:00,BHA,Brighton and Hove Albion,"Etihad Stadium, Manchester",#MCIBHA,,,,,,,,,
NEW,Newcastle United,8/31/19,15:00:00,WAT,Watford,"St. James' Park, Newcastle",#NEWWAT,,,,,,,,,
SOU,Southampton,8/31/19,15:00:00,MUN,Manchester United,"St. Mary's Stadium, Southampton",#SOUMUN,,,,,,,,,
WHU,West Ham United,8/31/19,15:00:00,NOR,Norwich City,"London Stadium, London",#WHUNOR,,,,,,,,,
VIL,Aston Villa,9/14/19,15:00:00,WHU,West Ham United,"Villa Park, Birmingham",#VILWHU,,,,,,,,,
